year,agricultura,industria,construccion,servicios,total
1850,3.3187033052021,0.636719329229428,0.22473904653272,1.06138350702605,5.2415451879903
1851,3.34742447679897,0.639839267780541,0.225845353727137,1.071158578405,5.28426767671165
1852,3.37628391912594,0.642953490954515,0.226949693173912,1.08098836341748,5.32717546667184
1853,3.4054037702529,0.646085072526904,0.228060209502012,1.09091207033913,5.37046112262094
1854,3.43472789401311,0.649223045533277,0.229173031833886,1.10091185258552,5.41403582396579
1855,3.43498839497724,0.646855627457039,0.228342480271969,1.1016016058658,5.41178810857205
1856,3.46137016150895,0.64939752365931,0.229244936699136,1.110673493916,5.45068611578339
1857,3.5108024194347,0.65622000782858,0.231658565334974,1.12715548014815,5.5258364727464
1858,3.52769436236579,0.656923088141712,0.231911983976296,1.13320234562981,5.54973178011361
1859,3.54810845839785,0.65826529319247,0.232391047654403,1.14038757402441,5.57915237326913
1860,3.57520741481769,0.660824002738656,0.233299611763047,1.14973011712291,5.61906114644231
1861,3.61508823374546,0.665731733050899,0.235037511202957,1.16318656911734,5.67904404711666
1862,3.65917021406394,0.671365097064364,0.237031679987349,1.1780097939674,5.74557678508305
1863,3.69662092587121,0.67573568644995,0.238580093587863,1.19071278986299,5.80164949577201
1864,3.72774238406396,0.678912209938993,0.239706981430197,1.20138942361199,5.84775099904514
1865,3.7516681319477,0.680750442321616,0.240361391759696,1.20975698620402,5.88253695223303
1866,3.77863442385324,0.683115571176303,0.241201873580439,1.21911426519045,5.92206613380043
1867,3.81246649029306,0.686690649149488,0.242469624427736,1.23069768399819,5.97232444786848
1868,3.83257318718699,0.687767018373852,0.242855121144537,1.23786024935604,6.00105557606142
1869,3.8422469166378,0.686960790400411,0.242575862490071,1.24165871911683,6.01344228864511
1870,3.85795317205799,0.687225745229129,0.242674849933931,1.24741147688881,6.03526524410986
1871,3.87924472248131,0.688470660352174,0.243119895420921,1.25497701978726,6.06581229804167
1872,3.90126906203453,0.689826625795233,0.243604176813247,1.26278760662913,6.09748747127213
1873,3.92216737756216,0.690964862491049,0.244011589677188,1.27024163092821,6.12738546065861
1874,3.94236575354497,0.691962475120243,0.244369358684973,1.27747657259126,6.15617415994144
1875,3.96302827506955,0.693024504560226,0.244749893143067,1.28486948100724,6.18567215378009
1876,3.983927589292,0.694110551812744,0.245138926870006,1.29234685634134,6.21552392431609
1877,4.01062053706283,0.696184859232367,0.245877009390803,1.30171239333155,6.25439479901755
1878,4.00414600828655,0.705430754279009,0.249140367896038,1.29713780242458,6.25585493288618
1879,3.99795448481768,0.714848175707526,0.252464250026635,1.29266741316126,6.2579343237131
1880,3.99246756960626,0.724517447313992,0.255877022127508,1.28843672977351,6.26129876882127
1881,3.988397876742,0.734577143617571,0.259427621764457,1.28467395836363,6.26707660048766
1882,3.97962135958693,0.743895910918131,0.262716493235901,1.27940764617416,6.26564140991512
1883,3.96029924305112,0.751328571717323,0.26533921220884,1.27077287454462,6.2477399015219
1884,3.94333267955982,0.759270983882741,0.268141909539363,1.26292074051239,6.23366631349431
1885,3.91876787297278,0.765798317564503,0.27044481914405,1.25266505153696,6.20767606121829
1886,3.89840142475426,0.773184091285363,0.273050849251778,1.24378330681002,6.18841967210142
