Year,Agricultura,Industria,Construccion,Servicios
1850,63.3153619052276,12.147550128697,4.28764874616848,20.2494392199069
1851,63.3469892441565,12.1083810837287,4.27391963360339,20.2707100385114
1852,63.3785002999962,12.0693131843881,4.26022560348851,20.2919609121271
1853,63.4098952119582,12.0303463292105,4.2465666223967,20.3131918364346
1854,63.4411741202178,11.9914804157635,4.23294265655628,20.3344028074624
1855,63.4723371659057,11.9527153406551,4.21935367185357,20.3555938215856
1856,63.5033844911002,11.9140509995406,4.20579963383542,20.3767648755238
1857,63.534316238819,11.8754872871298,4.19228050771176,20.3979159663394
1858,63.5651325530109,11.8370240971946,4.17879625835806,20.4190470914365
1859,63.5958335785481,11.7986613225757,4.16534685031791,20.4401582485583
1860,63.6264194612177,11.7603988551905,4.1519322478055,20.4612494357863
1861,63.6566331191057,11.7226020352651,4.13868089863275,20.4820839469965
1862,63.6867341772205,11.6849033992095,4.12546361929654,20.5028988042734
1863,63.716722779705,11.6473028393459,4.1122803740855,20.5236940068636
1864,63.7465990715516,11.6098002471352,4.09913112698092,20.5444695543323
1865,63.776363198595,11.5723955131842,4.08601584165917,20.5652254465617
1866,63.8060153075045,11.5350885272522,4.07293448149404,20.5859616837493
1867,63.8355555457764,11.4978791782581,4.05988700955912,20.6066782664064
1868,63.8649840617267,11.4607673542867,4.04687338863018,20.6273751953564
1869,63.8943010044834,11.4237529425961,4.03389358118752,20.648052471733
1870,63.9235065239788,11.3868358296237,4.02094754941832,20.6687100969792
1871,63.9526007709424,11.3500159009939,4.00803525521903,20.6893480728447
1872,63.9815838968931,11.3132930415241,3.99515666019767,20.7099664013851
1873,64.0104560541321,11.2766671352316,3.98231172567623,20.7305650849601
1874,64.0392173957351,11.2401380653406,3.96950041269295,20.7511441262313
1875,64.0678680755451,11.2037057142887,3.95672268200472,20.7717035281615
1876,64.0964082481649,11.1673699637335,3.94397849408936,20.7922432940123
1877,64.1248380689499,11.1311306945594,3.93126780914799,20.8127634273428
1878,64.0063756471925,11.2763285249895,3.98251510894763,20.7347807188703
1879,63.8861687900477,11.4230693185571,4.03430648145309,20.6564554099421
1880,63.7642079864824,11.5713604168163,4.08664450579602,20.5777870909052
1881,63.6404839288489,11.7212089534762,4.13953168761765,20.4987754300572
1882,63.514987520501,11.8726218474767,4.19297045662657,20.4194201753957
1883,63.38770988348,12.0256057960144,4.24696316413885,20.3397211563667
1884,63.2586423662669,12.1801672675214,4.3015120806018,20.2596782856099
1885,63.1277765515957,12.3363124946022,4.35661939310302,20.179291560699
1886,62.9951042643245,12.4940474669329,4.41228720286609,20.0985610658765
1887,62.8606175793587,12.6533779241262,4.46851752273464,20.0174869737805
1888,62.7086841857507,12.6568062137584,4.46969109730158,20.1648185031893
